name,state,category,rating,,,,,,,,,,Weighted_Average
Boating Spot and Children's Park,Tamil Nadu,Park,4.1,,,,,,,,,,4.41
Sacred Heart Cathedral,Tamil Nadu,Catholic cathedral,4.6,,,,,,,,,,4.69
Kandal Cross Shrine,Tamil Nadu,Catholic church,4.7,,,,,,,,,,4.69
Marlimund lake,Tamil Nadu,Nature preserve,4.4,,,,,,,,,,4.41
Toda Temple,Tamil Nadu,Hindu temple,4.1,,,,,,,,,,4.69
Lake view point at Pine forest,Tamil Nadu,Vista point,4.4,,,,,,,,,,4.41
ISKCON Temple Surat,Gujarat,Hindu temple,4.7,,,,,,,,,,4.6
Surat Castle,Gujarat,Castle,4.4,,,,,,,,,,4.35
Sai Mandir Sansthan,Gujarat,Hindu temple,4.8,,,,,,,,,,4.6
Sardar Patel Museum,Gujarat,Museum,4.3,,,,,,,,,,4.35
Lake View Garden,Gujarat,Garden,4.1,,,,,,,,,,4.4
Jawaharlal Nehru Garden,Gujarat,Garden,4.2,,,,,,,,,,4.4
Joggers Park,Gujarat,Park,4.5,,,,,,,,,,4.4
Three Leaf Banyan Tree,Gujarat,Historical landmark,4.4,,,,,,,,,,4.35
Maharana Pratap Garden (Chowpati),Gujarat,Garden,4.3,,,,,,,,,,4.4
Summer Palace,Gujarat,Castle,4.3,,,,,,,,,,4.35
Navdi Bandar Statue,Gujarat,Historical landmark,4.2,,,,,,,,,,4.35
Virasat-e-Khalsa,Punjab,Museum,4.7,,,,,,,,,,4.51
Takhat Sri Kesgarh Sahib,Punjab,Gurudwara,4.9,,,,,,,,,,4.9
Sri Guru Teg Bahadur Sikh Museum,Punjab,Museum,4.7,,,,,,,,,,4.51
Nainital Lake View Point,Uttarakhand,Scenic spot,4.6,,,,,,,,,,4.34
Sankat Mochan Mandir,Uttarakhand,Hindu temple,4.8,,,,,,,,,,4.64
Tiffin Top,Uttarakhand,Hill station,4.5,,,,,,,,,,4.34
"Snow Valley, Nainital",Uttarakhand,Park,4.6,,,,,,,,,,4.34
Pasan Devi Temple,Uttarakhand,Hindu temple,4.5,,,,,,,,,,4.64
Delwara Temple,Rajasthan,Jain temple,4.6,,,,,,,,,,4.67
Shankar Math,Rajasthan,Hindu temple,4.5,,,,,,,,,,4.67
Shree Swaminarayan Temple,Rajasthan,Hindu temple,4.4,,,,,,,,,,4.67
"Shri Somnath Mahadev Temple, Mt. Abu",Rajasthan,Hindu temple,4.5,,,,,,,,,,4.67
Shri Raghunath Temple,Rajasthan,Hindu temple,4.4,,,,,,,,,,4.67
World Spiritual Museum (Brahmakumaris),Rajasthan,Museum,4.2,,,,,,,,,,4.51
Sunset Point,Rajasthan,Vista point,4.4,,,,,,,,,,4.38
Brahmakumaris Peace Park,Rajasthan,Park,4.2,,,,,,,,,,4.38
Nakki Lake,Rajasthan,Lake,4.5,,,,,,,,,,4.38
Nakki Lake Garden,Rajasthan,Garden,4.3,,,,,,,,,,4.38
Honeymoon Point,Rajasthan,Scenic spot,4.4,,,,,,,,,,4.38
LUCKY'S Celebrity Wax Museum,Rajasthan,Wax museum,4.3,,,,,,,,,,4.51
Crocodile Park,Rajasthan,Park,4.1,,,,,,,,,,4.38
Arbuda Devi Temple,Rajasthan,Hindu temple,4.6,,,,,,,,,,4.67
"Adhar Devi Stop, Mount Abu",Rajasthan,Hindu temple,4.5,,,,,,,,,,4.67
Adhar Devi Mandir/ Arbuda Mata Mandir,Rajasthan,Hindu temple,4.8,,,,,,,,,,4.67
Dadi Janki Park,Rajasthan,Park,4.8,,,,,,,,,,4.38
Mount Abu Wildlife Sanctuary,Rajasthan,Wildlife refuge,4.4,,,,,,,,,,4.38
Shri Achaleshwar Mahadev Temple,Rajasthan,Hindu temple,4.5,,,,,,,,,,4.67
Mount Abu View Point,Rajasthan,Scenic spot,4.6,,,,,,,,,,4.38
"Kanch ka Mandir, Digambar Jain Mandir and Dharmshala",Rajasthan,Jain temple,4.3,,,,,,,,,,4.67
Lal Temple,Rajasthan,Hindu temple,4.3,,,,,,,,,,4.67
Kovalam Beach,Kerala,Public beach,4.4,,,,,,,,,,4.43
Sree Padmanabhaswamy Temple,Kerala,Hindu temple,4.7,,,,,,,,,,4.72
Attukal Bhagavathy Temple,Kerala,Hindu temple,4.8,,,,,,,,,,4.72
Kanakakkunnu Palace,Kerala,Historical landmark,4.5,,,,,,,,,,4.42
Napier Museum,Kerala,Archaeological museum,4.4,,,,,,,,,,4.42
Pazhavangaadi Sree Maha Ganapathy Temple,Kerala,Hindu temple,4.8,,,,,,,,,,4.72
Sri Parasurama Swamy Temple Thiruvallam,Kerala,Hindu temple,4.6,,,,,,,,,,4.72
Karikkakom Sri Chamundi Temple,Kerala,Hindu temple,4.8,,,,,,,,,,4.72
Veli Beach,Kerala,Beach,4.2,,,,,,,,,,4.43
Sunil's Wax Museum Trivandrum,Kerala,Museum,4.3,,,,,,,,,,4.42
East Fort,Kerala,Fortress,4.4,,,,,,,,,,4.42
Grove Beach,Kerala,Public beach,4.3,,,,,,,,,,4.43
Keralam - Museum of History and Heritage,Kerala,Heritage museum,4.4,,,,,,,,,,4.42
Kuthira Maliga Palace Museum,Kerala,Museum,4.6,,,,,,,,,,4.42
Padmatheertha Pond,Kerala,Hindu temple,4.6,,,,,,,,,,4.72
Kovalam Sea View,Kerala,Vista point,4.5,,,,,,,,,,4.43
Sreekanteswaram Temple,Kerala,Hindu temple,4.8,,,,,,,,,,4.72
Beemapally Masjid,Kerala,Mosque,4.4,,,,,,,,,,4.72
Palayam Juma Masjid - Trivandrum,Kerala,Mosque,4.6,,,,,,,,,,4.72
Maharaja Swathi Thirunal Palace,Kerala,Historical place museum,4.5,,,,,,,,,,4.42
Thumba Beach,Kerala,Public beach,4.3,,,,,,,,,,4.43
Thrichakrapuram Sri Krishna Swamy Temple,Kerala,Hindu temple,4.8,,,,,,,,,,4.72
Kunnumpara Sree Murugan Temple,Kerala,Hindu temple,4.7,,,,,,,,,,4.72
Sree Palkulangara Devi Temple,Kerala,Hindu temple,4.4,,,,,,,,,,4.72
Sree Mithranandapuram Thrimoorthy Temple,Kerala,Hindu temple,4.5,,,,,,,,,,4.72
Methan Mani,Kerala,Historical landmark,4.5,,,,,,,,,,4.42
TESLA Pedagogy Park,Kerala,Park,4.2,,,,,,,,,,4.43
Pettah Shiva Temple,Kerala,Hindu temple,4.5,,,,,,,,,,4.72
Sree Kulashekharaperumal Sree Venkitachalapathy Devasthanam Deshikar Sannidhi,Kerala,Hindu temple,4.6,,,,,,,,,,4.72
Sree Kunnuvila Bhagavathi Temple,Kerala,Hindu temple,4.6,,,,,,,,,,4.72
Vizhinjam Rock Temple,Kerala,Hindu temple,4.4,,,,,,,,,,4.72
Rock Cut Cave Shiva Temple,Kerala,Historical landmark,4.2,,,,,,,,,,4.42
Golden Sand Beach,Kerala,Beach pavillion,4.4,,,,,,,,,,4.43
Kanyakumari,Tamil Nadu,Historical landmark,4.6,,,,,,,,,,4.37
Kanyakumari Sunrise View,Tamil Nadu,Scenic spot,4.6,,,,,,,,,,4.41
Vattakottai Fort,Tamil Nadu,Historical landmark,4.3,,,,,,,,,,4.37
Kanyakumari Bhagavathy Amman Temple,Tamil Nadu,Hindu temple,4.5,,,,,,,,,,4.69
Kanyakumari Tourist View Point Gandhi Mandapam,Tamil Nadu,Scenic spot,4.5,,,,,,,,,,4.41
Gwalior Fort,Madhya Pradesh,Fortress,4.5,,,,,,,,,,4.43
Surya Mandir Gwalior,Madhya Pradesh,Hindu temple,4.5,,,,,,,,,,4.74
HH Maharaja Sir Jiwajirao Scindia Museum,Madhya Pradesh,History museum,4.3,,,,,,,,,,4.43
Italian Garden,Madhya Pradesh,Garden,4.2,,,,,,,,,,4.34
Saas Bahu twin temples,Madhya Pradesh,Hindu temple,4.5,,,,,,,,,,4.74
Jai Vilas Palace,Madhya Pradesh,Museum,4.3,,,,,,,,,,4.43
Gujari Mahal,Madhya Pradesh,Archaeological museum,4.4,,,,,,,,,,4.43
Assi Khamba Ki Bawadis,Madhya Pradesh,Historical landmark,4.3,,,,,,,,,,4.43
Chaturbhuj Temple,Madhya Pradesh,Hindu temple,4.5,,,,,,,,,,4.74
Karn Mahal,Madhya Pradesh,Historical landmark,4.2,,,,,,,,,,4.43
Vikram Mahal,Madhya Pradesh,Historical landmark,4.2,,,,,,,,,,4.43
Shree Siddhivinayak Temple,Maharashtra,Hindu temple,4.8,,,,,,,,,,4.69
Sanjay Gandhi National Park,Maharashtra,National park,4.3,,,,,,,,,,4.35
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Maharashtra,History museum,4.6,,,,,,,,,,4.49
Mahakali Caves,Maharashtra,Archaeological site,4.2,,,,,,,,,,4.49
Hanging Gardens,Maharashtra,Park,4.2,,,,,,,,,,4.35
Flora Fountain,Maharashtra,Historical landmark,4.5,,,,,,,,,,4.49
Shiv Fort,Maharashtra,Fortress,4.1,,,,,,,,,,4.49
Padmanabhapuram Palace,Tamil Nadu,Historical landmark,4.4,,,,,,,,,,4.37
Mayapuri Wonder Wax,Tamil Nadu,Museum,4.1,,,,,,,,,,4.37
Kanyakumari Beach,Tamil Nadu,Beach,4.5,,,,,,,,,,4.41
Our Lady of Ransom Shrine,Tamil Nadu,Catholic church,4.6,,,,,,,,,,4.69
Kanyakumari,Tamil Nadu,Historical landmark,4.5,,,,,,,,,,4.37
Kanyakumari Sunrise View,Tamil Nadu,Scenic spot,4.6,,,,,,,,,,4.41
Vattakottai Fort,Tamil Nadu,Historical landmark,4.3,,,,,,,,,,4.37
KanniyaKumari Amman Temple,Tamil Nadu,Hindu temple,4.5,,,,,,,,,,4.69
Periyakadu beach,Tamil Nadu,Public beach,4.5,,,,,,,,,,4.41
Southern most point of India,Tamil Nadu,Historical landmark,4.6,,,,,,,,,,4.37
"Shri Mahaveerswami Jain Mandir Dadawadi, Kanyakumari",Tamil Nadu,Jain temple,4.5,,,,,,,,,,4.69
Beach Promenade,Tamil Nadu,Park,4.3,,,,,,,,,,4.41
Pozhikarai Beach Park,Tamil Nadu,Public beach,4.4,,,,,,,,,,4.41
"Vivekananda Kendra Beach, Vivekanandapuram",Tamil Nadu,Public beach,4.5,,,,,,,,,,4.41
Kanyakumari Tourist View Point Gandhi Mandapam,Tamil Nadu,Scenic spot,4.5,,,,,,,,,,4.41
Namgyal Institute of Tibetology,Sikkim,Museum,4.3,,,,,,,,,,4.3
Gonjang Monastery,Sikkim,Buddhist temple,4.5,,,,,,,,,,4.52
Do Drul Chorten,Sikkim,Buddhist temple,4.4,,,,,,,,,,4.52
Hanuman Tok,Sikkim,Hindu temple,4.7,,,,,,,,,,4.52
Ganesh Tok,Sikkim,Hindu temple,4.5,,,,,,,,,,4.52
Enchey Monastery,Sikkim,Buddhist temple,4.5,,,,,,,,,,4.52
Kanchendzonga national park,Sikkim,Park,4.5,,,,,,,,,,4.5
Thakurbari Temple,Sikkim,Hindu temple,4.5,,,,,,,,,,4.52
"Shri Badi Patan Devi Temple, Patna",Bihar,Hindu temple,4.6,,,,,,,,,,4.65
Shree Siddhraj Jaysinh Statue Patan,Gujarat,Historical landmark,4.6,,,,,,,,,,4.35
Patan Fort,Gujarat,Historical landmark,4.5,,,,,,,,,,4.35
Gir National Park,Gujarat,National park,4.5,,,,,,,,,,4.4
Shri Kashi Vishwanath Temple,Uttar Pradesh,Hindu temple,4.7,,,,,,,,,,4.69
Archaeological Buddhist Remains of Sarnath,Uttar Pradesh,Archaeological site,4.5,,,,,,,,,,4.5
Shri Satyanarayan Tulsi Manas Mandir,Uttar Pradesh,Hindu temple,4.6,,,,,,,,,,4.69
Panchganga Ghat,Uttar Pradesh,Religious destination,4.5,,,,,,,,,,4.69
Nepali Temple,Uttar Pradesh,Hindu temple,4.6,,,,,,,,,,4.69
Meer Ghat,Uttar Pradesh,Hindu temple,4.4,,,,,,,,,,4.69
Ganga Mahal Ghat (2),Uttar Pradesh,Religious destination,4.4,,,,,,,,,,4.69
Gola Ghat,Uttar Pradesh,Religious destination,4.1,,,,,,,,,,4.69
Dashashwamedh Ghat,Uttar Pradesh,Religious destination,4.6,,,,,,,,,,4.69
Ramnagar Fort,Uttar Pradesh,Fortress,4.1,,,,,,,,,,4.5
Khidkiya Ghat,Uttar Pradesh,Religious destination,4.5,,,,,,,,,,4.69
"Dhamekh Stupa, Sarnath",Uttar Pradesh,Buddhist temple,4.6,,,,,,,,,,4.69
Shaheed Udyan Nagar Nigam,Uttar Pradesh,Park,4.2,,,,,,,,,,4.29
Chaukhandi Stupa,Uttar Pradesh,Monument,4.4,,,,,,,,,,4.5
Anand Park,Uttar Pradesh,Park,4.1,,,,,,,,,,4.29
Chet Singh Ghat,Uttar Pradesh,Religious destination,4.4,,,,,,,,,,4.69
Man Singh Observatory,Uttar Pradesh,Observatory,4.5,,,,,,,,,,4.29
Tulsi Ghat,Uttar Pradesh,Religious destination,4.5,,,,,,,,,,4.69
Shivala Ghat,Uttar Pradesh,Religious destination,4.4,,,,,,,,,,4.69
Bharat Kala Bhavan Museum,Uttar Pradesh,Museum,4.5,,,,,,,,,,4.5
Dr. Rajendra Prasad Ghat,Uttar Pradesh,Historical landmark,4.5,,,,,,,,,,4.5
Shree Annapurna Mandir,Uttar Pradesh,Hindu temple,4.7,,,,,,,,,,4.69
Sant Shiromani Guru Ravidas Mandir,Uttar Pradesh,Hindu temple,4.3,,,,,,,,,,4.69
Ashoka Pillar,Uttar Pradesh,Historical landmark,4.6,,,,,,,,,,4.5
Darbhanga Ghat,Uttar Pradesh,Religious destination,4.6,,,,,,,,,,4.69
Tibetan Temple,Uttar Pradesh,Buddhist temple,4.4,,,,,,,,,,4.69
Golden Temple,Uttar Pradesh,Buddhist temple,4.6,,,,,,,,,,4.69
Subah-e-Banaras,Uttar Pradesh,Hindu temple,4.7,,,,,,,,,,4.69
Scindia Ghat,Uttar Pradesh,Religious destination,4.4,,,,,,,,,,4.69
Ahilyabai Ghat,Uttar Pradesh,Hindu temple,4.4,,,,,,,,,,4.69
The Giant Buddha,Uttar Pradesh,Buddhist temple,4.6,,,,,,,,,,4.69
Bhonsale Ghat,Uttar Pradesh,Religious destination,4.4,,,,,,,,,,4.69
Babua Pandey Ghat,Uttar Pradesh,Hindu temple,4.4,,,,,,,,,,4.69
Dandi Ghat,Uttar Pradesh,Religious destination,4.5,,,,,,,,,,4.69
Panchkot Ghat,Uttar Pradesh,Religious destination,4.4,,,,,,,,,,4.69
Sankatha Ghat,Uttar Pradesh,Hindu temple,4.3,,,,,,,,,,4.69
Manmandir Sri Someshwara Swamy Temple,Uttar Pradesh,Hindu temple,4.7,,,,,,,,,,4.69
Mulagandha Kuti,Uttar Pradesh,Buddhist temple,4.7,,,,,,,,,,4.69
Gulmarg Wildlife Sanctuary,Jammu and Kashmir,Nature preserve,4.5,,,,,,,,,,4.41
Bibi Ka Maqbara,Maharashtra,Historical landmark,4.2,,,,,,,,,,4.49
"Chhatrapati Shivaji Maharaj Museum, Aurangabad.",Maharashtra,Museum,4.2,,,,,,,,,,4.49
Himayatbagh Biodiversity Heritage site,Maharashtra,Garden,4.3,,,,,,,,,,4.35
Makai Gate,Maharashtra,Historical landmark,4.1,,,,,,,,,,4.49
Delhi Gate,Delhi,Historical landmark,4.4,,,,,,,,,,4.51
Soneri Mahal,Maharashtra,Monument,4.2,,,,,,,,,,4.49
Shri Khandoba Temple,Maharashtra,Hindu temple,4.6,,,,,,,,,,4.69
Encore Creative Events,Maharashtra,Hindu temple,4.4,,,,,,,,,,4.69
Balaji Temple - Jagdalpur,Chhattisgarh,Hindu temple,4.6,,,,,,,,,,4.49
Kanger Valley National Park,Chhattisgarh,National park,4.1,,,,,,,,,,4.21
Mata Sarwamangla Temple,Chhattisgarh,Hindu temple,4.6,,,,,,,,,,4.49
Silver Jubilee Park NTPC Jamnipali,Chhattisgarh,Park,4.2,,,,,,,,,,4.21
Kohadiya Garden KP,Chhattisgarh,Park,4.2,,,,,,,,,,4.21
Nehru Nagar Park Bhelwa Talab,Chhattisgarh,Park,4.1,,,,,,,,,,4.21
Shaheed Udyaan,Chhattisgarh,Park,4.5,,,,,,,,,,4.21
Chandi Mandir,Chhattisgarh,Hindu temple,4.5,,,,,,,,,,4.49
Jama Masjid,Chhattisgarh,Mosque,4.4,,,,,,,,,,4.49
Jagannath Temple,Chhattisgarh,Hindu temple,4.5,,,,,,,,,,4.49
"Shree Shirdi Saibaba Mandir - Bhilai City, Chhattisgarh, India",Chhattisgarh,Hindu temple,4.7,,,,,,,,,,4.49
Akkum's Talab Park,Chhattisgarh,Park,4.3,,,,,,,,,,4.21
Panchratan Vatika,Chhattisgarh,Park,4.1,,,,,,,,,,4.21
ARJUN RATH PARK,Chhattisgarh,Park,4.1,,,,,,,,,,4.21
Varsoli Beach,Maharashtra,Public beach,4.3,,,,,,,,,,4.35
Kulaba Fort,Maharashtra,Fortress,4.2,,,,,,,,,,4.49
ISKCON temple Bangalore,Karnataka,Hindu temple,4.6,,,,,,,,,,4.62
Bengaluru Palace,Karnataka,Historical place museum,4.2,,,,,,,,,,4.41
Bannerughatta Biological Park,Karnataka,National park,4.4,,,,,,,,,,4.43
HAL Heritage Centre and Aerospace Museum,Karnataka,Museum,4.4,,,,,,,,,,4.41
Bugle Rock Park,Karnataka,Park,4.4,,,,,,,,,,4.43
M.N. Krishna Rao Park,Karnataka,Park,4.5,,,,,,,,,,4.43
Ashoka Pillar Monument,Karnataka,Historical landmark,4.5,,,,,,,,,,4.41
Mahatma Gandhi Park,Karnataka,Park,4.2,,,,,,,,,,4.43
Rock City View,Karnataka,Scenic spot,4.3,,,,,,,,,,4.43
Melody World Wax Museum,Karnataka,Wax museum,4.1,,,,,,,,,,4.41
Folklore Museum,Karnataka,Museum,4.3,,,,,,,,,,4.41
Sand Museum Mysuru,Karnataka,Art museum,4.7,,,,,,,,,,4.41
Jaganmohan Palace Art Gallery And Auditorium,Karnataka,Art museum,4.2,,,,,,,,,,4.41
Cheluvamba Park,Karnataka,Park,4.4,,,,,,,,,,4.43
Manuvana Park,Karnataka,Park,4.3,,,,,,,,,,4.43
Lingambudhi Park,Karnataka,Park,4.5,,,,,,,,,,4.43
Chikka Gadiyara,Karnataka,Historical landmark,4.5,,,,,,,,,,4.41
Chamundi Hill View Point.,Karnataka,Scenic spot,4.7,,,,,,,,,,4.43
Regional Museum of Natural History Mysore,Karnataka,Museum,4.4,,,,,,,,,,4.41
Guinness World Record Sea Shell Art Museum,Karnataka,Museum,4.5,,,,,,,,,,4.41
Big Clock Tower,Karnataka,Historical landmark,4.5,,,,,,,,,,4.41
Jayalakshmi Vilas Mansion jylkssmii vilaas armne,Karnataka,Historical landmark,4.3,,,,,,,,,,4.41
Chamundi Hills sunrise view point,Karnataka,Vista point,4.6,,,,,,,,,,4.43
Sri Sri Krishna Balaram Mandir (ISKCON Vrindavan),Uttar Pradesh,Hindu temple,4.8,,,,,,,,,,4.69
"Prem Mandir, Vrindavan",Uttar Pradesh,Hindu temple,4.8,,,,,,,,,,4.69
Sri Rangnath Ji Mandir,Uttar Pradesh,Hindu temple,4.6,,,,,,,,,,4.69
Vrindavan Chandrodaya Mandir,Uttar Pradesh,Hindu temple,4.6,,,,,,,,,,4.69
"Shri Radha Damodar Dev Ji Temple, Vrindavan",Uttar Pradesh,Hindu temple,4.8,,,,,,,,,,4.69
"Shri Radhavallabh Lal Ji Temple, Vrindavan",Uttar Pradesh,Hindu temple,4.9,,,,,,,,,,4.69
"Shri Garud Govind Temple, Vrindavan",Uttar Pradesh,Hindu temple,4.7,,,,,,,,,,4.69
"Shahji Temple, Vrindavan",Uttar Pradesh,Hindu temple,4.5,,,,,,,,,,4.69
"Shri Pagal Baba Temple, Vrindavan",Uttar Pradesh,Hindu temple,4.4,,,,,,,,,,4.69
Birla Temple,Uttar Pradesh,Hindu temple,4.4,,,,,,,,,,4.69
"Shri Radha Madan Mohan Ji Temple, Vrindavan",Bihar,Hindu temple,4.7,,,,,,,,,,4.65
"Seva Kunj, Vrindavan",Uttar Pradesh,Hindu temple,4.7,,,,,,,,,,4.69
"Keshi Ghat, Vrindavan",Uttar Pradesh,Religious destination,4.6,,,,,,,,,,4.69
prem mndir vaattikaa,Uttar Pradesh,Garden,4.7,,,,,,,,,,4.29
Temple of Dauji,Uttar Pradesh,Hindu temple,4.5,,,,,,,,,,4.69
"Shri Jugal Kishore Ji Temple, Vrindavan",Uttar Pradesh,Hindu temple,4.7,,,,,,,,,,4.69
India Gate,Delhi,Monument,4.6,,,,,,,,,,4.51
Red Fort,Delhi,Fortress,4.5,,,,,,,,,,4.51
Lodhi Garden,Delhi,Garden,4.5,,,,,,,,,,4.29
Humayun's Tomb,Delhi,Historical landmark,4.5,,,,,,,,,,4.51
Purana Quila,Delhi,Fortress,4.2,,,,,,,,,,4.51
The Garden of Five Senses,Delhi,Garden,4.1,,,,,,,,,,4.29
Darya Khan's Tomb,Delhi,Historical landmark,4.3,,,,,,,,,,4.51
Mumtaz Mahal,Delhi,Historical landmark,4.3,,,,,,,,,,4.51
Jantar Mantar,Delhi,Observatory,4.2,,,,,,,,,,4.29
"Safdarjung Tomb, Delhi",Delhi,Monument,4.4,,,,,,,,,,4.51
Shri Laxmi Narayan Temple (Birla Mandir),Delhi,Hindu temple,4.6,,,,,,,,,,4.69
Tughlakabad Fort Delhi,Delhi,Fortress,4.1,,,,,,,,,,4.51
Hauz Khas Fort,Delhi,Historical landmark,4.4,,,,,,,,,,4.51
Mehrauli Archaeological Park,Delhi,Historical landmark,4.3,,,,,,,,,,4.51
Shanti Stupa New Delhi,Delhi,Buddhist temple,4.4,,,,,,,,,,4.69
"Zafar Mahal, Delhi",Delhi,Historical landmark,4.4,,,,,,,,,,4.51
INTERNATIONAL COIR MUSEUM,Kerala,Museum,4.3,,,,,,,,,,4.42
Revi Karunakaran Memorial Museum,Kerala,Museum,4.2,,,,,,,,,,4.42
Mount Carmel Roman Catholic Latin Cathedral,Kerala,Catholic cathedral,4.6,,,,,,,,,,4.72
The Great Backwaters,Kerala,Nature preserve,4.5,,,,,,,,,,4.43
"Sree Krishna Swamy Temple, Ambalapuzha",Kerala,Hindu temple,4.8,,,,,,,,,,4.72
Alappuzha Beach,Kerala,Beach,4.5,,,,,,,,,,4.43
Mullakkal Rajarajeswari Temple,Kerala,Hindu temple,4.6,,,,,,,,,,4.72
Kidangamparambu Sree Bhuvaneswari Temple,Kerala,Hindu temple,4.5,,,,,,,,,,4.72
Swetamber Jain Temple,Gujarat,Jain temple,4.3,,,,,,,,,,4.6
House of Kalam (APJ Abdul Kalam House / Museum,Tamil Nadu,Museum,4.5,,,,,,,,,,4.37
Ramar Padam,Tamil Nadu,Hindu temple,4.5,,,,,,,,,,4.69
Sri Arulmigu Ramanathaswamy Temple,Tamil Nadu,Hindu temple,4.6,,,,,,,,,,4.69
Shree Rameshwaram Jyotirlinga Shivam Temple,Tamil Nadu,Hindu temple,4.7,,,,,,,,,,4.69
Villoondi Theertham,Tamil Nadu,Hindu temple,4.5,,,,,,,,,,4.69
Lakshmana Tirtham,Tamil Nadu,Hindu temple,4.5,,,,,,,,,,4.69
Vivekananda Memorial House,Tamil Nadu,Museum,4.4,,,,,,,,,,4.37
Rameshwaram Beach Park,Tamil Nadu,Park,4.3,,,,,,,,,,4.41
Rameswaram Ariya Vysya Nagaraja Temple,Tamil Nadu,Hindu temple,4.5,,,,,,,,,,4.69
Meenakshi Amman Temple,Tamil Nadu,Hindu temple,4.7,,,,,,,,,,4.69
Madurai Corporation Eco Park,Tamil Nadu,Ecological park,4.1,,,,,,,,,,4.41
Shri Koodal Azhagar Temple,Tamil Nadu,Hindu temple,4.7,,,,,,,,,,4.69
Maariamman Kovil Teppakulam,Tamil Nadu,Hindu temple,4.6,,,,,,,,,,4.69
Arulmigu Inmaiyil Nanmai Tharuvar Temple,Tamil Nadu,Hindu temple,4.7,,,,,,,,,,4.69
Sri Alagar Temple,Tamil Nadu,Hindu temple,4.7,,,,,,,,,,4.69
Arulmigu Sri Muktheeswarar Temple vaayu sthalam,Tamil Nadu,Hindu temple,4.8,,,,,,,,,,4.69
Yanai Malai Hill,Tamil Nadu,Historical landmark,4.4,,,,,,,,,,4.37
Shri Madurai Veeran Swamy Temple,Tamil Nadu,Hindu temple,4.6,,,,,,,,,,4.69
"Bomdila Buddhist Monastery - Bomdila, West Kameng District, Arunachal Pradesh, India",Arunachal Pradesh,Buddhist temple,4.6,,,,,,,,,,4.59
Buddha Park,Arunachal Pradesh,Park,4.1,,,,,,,,,,4.1
Mandala Associates,Arunachal Pradesh,Buddhist temple,4.3,,,,,,,,,,4.59
Vaishno Dham Temple,Rajasthan,Hindu temple,4.6,,,,,,,,,,4.67
Science Park,Rajasthan,Park,4.2,,,,,,,,,,4.38
Bhraman Path,Rajasthan,Park,4.5,,,,,,,,,,4.38
Seth Bhandasar Jain Temple,Rajasthan,Jain temple,4.6,,,,,,,,,,4.67
Nagar Seth Shree Laxminath Ji mandir,Rajasthan,Hindu temple,4.7,,,,,,,,,,4.67
Prachina Museum,Rajasthan,Historical place museum,4.3,,,,,,,,,,4.51
Museum park,Rajasthan,Park,4.4,,,,,,,,,,4.38
Bikaji Ki Tekri,Rajasthan,Museum,4.2,,,,,,,,,,4.51
Shri Laxminath Temple,Rajasthan,Hindu temple,4.7,,,,,,,,,,4.67
Junagarh Palace And Museum Bikaner,Rajasthan,Heritage museum,4.6,,,,,,,,,,4.51
Jawahar Park,Rajasthan,Park,4.2,,,,,,,,,,4.38
Kodamdesar Bhairav Temple,Rajasthan,Hindu temple,4.5,,,,,,,,,,4.67
Sri Sadul Museum,Rajasthan,Museum,4.1,,,,,,,,,,4.51
RAO BIKAJI PARK,Rajasthan,Park,4.2,,,,,,,,,,4.38
"Shri Shiv Bari Temple - Bikaner District, Rajasthan, India",Rajasthan,Hindu temple,4.6,,,,,,,,,,4.67
Marunayak Ji Ka Temple,Rajasthan,Hindu temple,4.2,,,,,,,,,,4.67
Nehru Park,Rajasthan,Park,4.2,,,,,,,,,,4.38
Radha Park,Rajasthan,Park,4.1,,,,,,,,,,4.38
Karla Caves,Maharashtra,Historical landmark,4.4,,,,,,,,,,4.49
Shree Narayani Dham Temple,Maharashtra,Hindu temple,4.7,,,,,,,,,,4.69
Bhairavnath Temple,Maharashtra,Hindu temple,4.2,,,,,,,,,,4.69
Dalma Wildlife Sanctuary,Jharkhand,Wildlife and safari park,4.2,,,,,,,,,,4.28
Sir Dorabji Tata Park,Jharkhand,Park,4.6,,,,,,,,,,4.28
Bhatia Park,Jharkhand,Park,4.1,,,,,,,,,,4.28
Millennium Park,Jharkhand,Park,4.3,,,,,,,,,,4.28
Jubilee Park,Jharkhand,Park,4.6,,,,,,,,,,4.28
Tata Zoo Lake,Jharkhand,Park,4.4,,,,,,,,,,4.28
Eco- Park,Jharkhand,Park,4.1,,,,,,,,,,4.28
Moolgaokar Park,Jharkhand,Park,4.3,,,,,,,,,,4.28
Jamshedpur Coin Museum,Jharkhand,Museum,4.2,,,,,,,,,,4.23
Dimna Lake,Jharkhand,Park,4.6,,,,,,,,,,4.28
Bat Island,Jharkhand,Park,4.2,,,,,,,,,,4.28
Darbhanga Fort,Bihar,Fortress,4.3,,,,,,,,,,4.19
Shyama Mai Temple,Bihar,Hindu temple,4.7,,,,,,,,,,4.65
Chandradhari Museum,Bihar,Museum,4.1,,,,,,,,,,4.19
Manokamna Mandir,Bihar,Hindu temple,4.6,,,,,,,,,,4.65
Kali Mandir,Bihar,Hindu temple,4.5,,,,,,,,,,4.65
Maharaja Madhav Singh Park,Bihar,Park,4.2,,,,,,,,,,4.19
Shyama Maa Kali Temple,Bihar,Hindu temple,4.5,,,,,,,,,,4.65
