name,state,category,rating,,,,,,,,,,Weighted_Average
Hanging Gardens,Maharashtra,Park,4.2,,,,,,,,,,4.35
Bandra Fort,Maharashtra,Fortress,4.4,,,,,,,,,,4.49
Chhatrapati Shivaji Maharaj Statue,Maharashtra,Historical landmark,4.5,,,,,,,,,,4.49
Vasai Fort,Maharashtra,Fortress,4.3,,,,,,,,,,4.49
Cross Maidan Garden,Maharashtra,Park,4.2,,,,,,,,,,4.35
Horniman Circle Garden,Maharashtra,Park,4.4,,,,,,,,,,4.35
BMC Nirvana Park,Maharashtra,Park,4.3,,,,,,,,,,4.35
Amarsons Garden,Maharashtra,Park,4.3,,,,,,,,,,4.35
Gol Deval Temple,Maharashtra,Hindu temple,4.3,,,,,,,,,,4.69
Veer Baji Prabhu Udyan,Maharashtra,Park,4.4,,,,,,,,,,4.35
Shiv Fort,Maharashtra,Fortress,4.2,,,,,,,,,,4.49
Worli Fort,Maharashtra,Fortress,4.2,,,,,,,,,,4.49
Shree Ghanteshwar Hanuman Mandir,Maharashtra,Hindu temple,4.7,,,,,,,,,,4.69
Juhu Garden,Maharashtra,Park,4.1,,,,,,,,,,4.35
Madh Fort,Maharashtra,Fortress,4.1,,,,,,,,,,4.49
Babu Amichand Panalal Adishwarji Jain Temple,Maharashtra,Jain temple,4.8,,,,,,,,,,4.69
Sagar Upvan Garden,Maharashtra,Garden,4.2,,,,,,,,,,4.35
Film City View,Maharashtra,Scenic spot,4.3,,,,,,,,,,4.35
Fort George,Maharashtra,Fortress,4.5,,,,,,,,,,4.49
Hutatma Memorial Statue,Maharashtra,Historical landmark,4.4,,,,,,,,,,4.49
Bomanjee Hormarjee Wadia Clock Tower,Maharashtra,Historical landmark,4.4,,,,,,,,,,4.49
Udayagiri and Khandagiri Caves,Odisha,Historical landmark,4.4,,,,,,,,,,4.46
State Tribal Museum,Odisha,Museum,4.6,,,,,,,,,,4.46
Dhauli Shanti Stupa,Odisha,Historical landmark,4.5,,,,,,,,,,4.46
Biju Patnaik Park,Odisha,Park,4.5,,,,,,,,,,4.49
Sri Ram Temple,Odisha,Hindu temple,4.7,,,,,,,,,,4.69
"Shree Mukteswara Temple, Bhubaneswar",Odisha,Hindu temple,4.7,,,,,,,,,,4.69
Bhaskareswara Temple,Odisha,Hindu temple,4.7,,,,,,,,,,4.69
Shree Bramheswara Temple,Odisha,Hindu temple,4.6,,,,,,,,,,4.69
Parsurameswara Temple,Odisha,Hindu temple,4.6,,,,,,,,,,4.69
Rani Gumpha,Odisha,Historical landmark,4.5,,,,,,,,,,4.46
Khanduali Temple,Odisha,Hindu temple,4.6,,,,,,,,,,4.69
Devi Padahara Pond (debii paadhraa pusskrinnii),Odisha,Historical landmark,4.3,,,,,,,,,,4.46
Honey Museum Wayanad,Kerala,Museum,4.8,,,,,,,,,,4.42
Attamala View Point,Kerala,Vista point,4.5,,,,,,,,,,4.43
Lakkidi View Point,Kerala,Scenic spot,4.5,,,,,,,,,,4.43
Meenmutty View Point,Kerala,Nature preserve,4.2,,,,,,,,,,4.43
PAZHASSI RAJA MEMORIAL,Kerala,Museum,4.3,,,,,,,,,,4.42
Wayanad view point,Kerala,Vista point,4.7,,,,,,,,,,4.43
Sunrise Valley View Point,Kerala,Scenic spot,4.2,,,,,,,,,,4.43
Jim Corbett National Park,Uttarakhand,National park,4.4,,,,,,,,,,4.34
Holi Gate,Uttar Pradesh,Historical landmark,4.4,,,,,,,,,,4.5
"Chinta Haran Mahadev, Mathura",Uttar Pradesh,Hindu temple,4.7,,,,,,,,,,4.69
"Government Museum, Mathura",Uttar Pradesh,Archaeological museum,4.3,,,,,,,,,,4.5
"Shri Bhuteshwar Mahadev Temple, Mathura",Uttar Pradesh,Hindu temple,4.7,,,,,,,,,,4.69
Basantar Park,Uttar Pradesh,Park,4.2,,,,,,,,,,4.29
Tulsi Van,Uttar Pradesh,Park,4.8,,,,,,,,,,4.29
"Khandoli Park, Giridih",Jharkhand,Park,4.1,,,,,,,,,,4.28
Kabir Gyan Mandir,Jharkhand,Hindu temple,4.6,,,,,,,,,,4.63
Thangkharang Park,Meghalaya,Park,4.3,,,,,,,,,,4.4
Mawkdok Dympep Valley View Point,Meghalaya,Vista point,4.5,,,,,,,,,,4.4
Mawsmai Nongthymmai Eco Park,Meghalaya,Ecological park,4.3,,,,,,,,,,4.4
Eco Park,Meghalaya,Park,4.3,,,,,,,,,,4.4
View Point Of Cherrapunjee,Meghalaya,Scenic spot,4.5,,,,,,,,,,4.4
Bangladesh Plains View Point,Meghalaya,Park,4.4,,,,,,,,,,4.4
Mot I pun / Palong Park,Meghalaya,Park,4.6,,,,,,,,,,4.4
Maharaja Fateh Singh Museum,Gujarat,Museum,4.2,,,,,,,,,,4.35
Nature Education Park,Gujarat,Nature preserve,4.1,,,,,,,,,,4.4
Sayaji Baug Health Museum,Gujarat,Museum,4.4,,,,,,,,,,4.35
Laxmi Vilas Palace,Gujarat,Heritage building,4.4,,,,,,,,,,4.35
Kirti Stambh,Gujarat,Historical landmark,4.4,,,,,,,,,,4.35
Radhakrishna (Akota) Garden,Gujarat,Garden,4.2,,,,,,,,,,4.4
Sayaji Garden,Gujarat,Garden,4.5,,,,,,,,,,4.4
EME Temple,Gujarat,Hindu temple,4.7,,,,,,,,,,4.6
ISKCON Temple,Gujarat,Hindu temple,4.7,,,,,,,,,,4.6
Vidhyadhar Vaav (Stepwell) at Sevasi,Gujarat,Historical landmark,4.3,,,,,,,,,,4.35
Nimeta Garden,Gujarat,Garden,4.2,,,,,,,,,,4.4
Sur Sagar Lake,Gujarat,Lake,4.5,,,,,,,,,,4.4
Nandalay Temple,Gujarat,Hindu temple,4.6,,,,,,,,,,4.6
Jagnath Mahadev Mandir - Navnath,Gujarat,Hindu temple,4.7,,,,,,,,,,4.6
Kamati Baug Vadodra,Gujarat,Park,4.5,,,,,,,,,,4.4
Siddhivinayak Temple,Gujarat,Hindu temple,4.7,,,,,,,,,,4.6
Nandan Kanan Park,Gujarat,Park,4.4,,,,,,,,,,4.4
Shri Rameshwar Mahadev Temple,Gujarat,Hindu temple,4.5,,,,,,,,,,4.6
"VAYA Hanuman Temple, Deluxe, Nizampura",Gujarat,Hindu temple,4.6,,,,,,,,,,4.6
Surya Narayan Temple,Gujarat,Hindu temple,4.4,,,,,,,,,,4.6
Sai Baba Temple,Gujarat,Hindu temple,4.7,,,,,,,,,,4.6
Surpaneshwar Mahadev Temple,Gujarat,Hindu temple,4.5,,,,,,,,,,4.6
Kodaikanal Solar Observatory Museum,Tamil Nadu,Observatory,4.3,,,,,,,,,,4.41
"Government Rose Garden , Kodaikanal",Tamil Nadu,Park,4.2,,,,,,,,,,4.41
Bryant Park,Tamil Nadu,Park,4.2,,,,,,,,,,4.41
Kodaikanal Hill Station,Tamil Nadu,Hill station,4.6,,,,,,,,,,4.41
Kodaikanal Lake,Tamil Nadu,Lake,4.5,,,,,,,,,,4.41
Kurinji Andavar Temple,Tamil Nadu,Hindu temple,4.7,,,,,,,,,,4.69
Chettiar Park,Tamil Nadu,Park,4.1,,,,,,,,,,4.41
punnnit iruty klluuri arungkaattciykm,Tamil Nadu,Museum,4.3,,,,,,,,,,4.37
Natural History Museum,Tamil Nadu,Museum,4.4,,,,,,,,,,4.37
Sarts gallery,Tamil Nadu,Park,4.3,,,,,,,,,,4.41
Poondi,Tamil Nadu,Garden,4.6,,,,,,,,,,4.41
CSI Christ the King Church Kodaikanal,Tamil Nadu,Church,4.6,,,,,,,,,,4.69
Mahakaleshwar Jyotirlinga,Madhya Pradesh,Hindu temple,4.8,,,,,,,,,,4.74
"Shri Chintaman Ganesh Temple, Ujjain",Madhya Pradesh,Hindu temple,4.7,,,,,,,,,,4.74
"ISKCON Temple, Ujjain",Madhya Pradesh,Hindu temple,4.7,,,,,,,,,,4.74
